compound,base_compound,isotope_info,molecular_formula,theoretical_mz_calculated,mass_type
Water [M+H]+,Water,,H2O,19.01839,protonated
Phosphine [M+H]+,Phosphine,,PH3,35.005061999999995,protonated
Potassium ion [M]+,Potassium ion,,K,38.963707,cation
Acetonitrile [M+H]+,Acetonitrile,,C2H3N,42.03437413308,protonated
Nitrogen dioxide [M+H]+,Nitrogen dioxide,,NO2,47.000729,protonated
Phosphine oxide [M+H]+,Phosphine oxide,,PH3O,50.999976999999994,protonated
Potassium hydroxide [M+H]+,Potassium hydroxide,,KOH,56.97427199999999,protonated
Acetone [M+H]+,Acetone,,C3H6O,59.04969,protonated
Silica [M+H]+,Silica,,SiO2,60.974582,protonated
Isopropanol [M+H]+,Isopropanol,,C3H8O,61.06534,protonated
"1,2-Ethylenediamine [M+H]+","1,2-Ethylenediamine",,C2H8N2,61.07657329823,protonated
Ethylene glycol [M+H]+,Ethylene glycol,,C2H6O2,63.04460446361,protonated
Nitric acid [M+H]+,Nitric acid,,HNO3,64.00346900000001,protonated
DMSO [M+H]+,DMSO,,C2H6OS,79.02176084405,protonated
DMSO-d6 [M+H]+,DMSO-d6,,C2D6OS,85.059423,protonated
Piperidine [M+H]+,Piperidine,,C5H11N,86.09697399999999,protonated
Hexanes [M+H]+,Hexanes,,C6H14,87.11737548105,protonated
Toluene [M+H]+,Toluene,,C7H8,93.070425,protonated
Aniline [M+H]+,Aniline,,C6H7N,94.065674,protonated
Silicic acid [M+H]+,Silicic acid,,H4SiO4,96.995712,protonated
Phosphoric acid [M+H]+,Phosphoric acid,,H3PO4,98.984722,protonated
Triethylamine [M+H]+,Triethylamine,,C6H15N,102.12827451792,protonated
Selenium dioxide [M+H]+,Selenium dioxide,80Se,SeO2,112.914176,protonated
PBG fragment 1 [M+H]+,PBG fragment 1,,C7H7NO,122.06058900000001,protonated
PBG fragment 2 [M+H]+,PBG fragment 2,,C7H8O2,125.060255,protonated
Quinoline [M+H]+,Quinoline,,C9H7N,130.06567426136002,protonated
Selenic acid [M+H]+,Selenic acid,80Se,H2SeO4,146.919656,protonated
Coumarin [M+H]+,Coumarin,,C9H6O2,147.044605,protonated
Lead stearate [M+H]+,Lead stearate,,C6H15NO3,150.1130183766,protonated
Triethanolamine [M+H]+,Triethanolamine,,C6H15NO3,150.11301899999998,protonated
Quinoline [M+Na]+,Quinoline,,C9H7N,152.047619,sodium_adduct
WPBG-027 fragment [M+H]+,WPBG-027 fragment,,C9H9NO2,164.071154,protonated
Diphenylphosphine [M+H]+,Diphenylphosphine,,C12H11P,187.06766201484,protonated
Diphenylphosphine oxide [M+H]+,Diphenylphosphine oxide,,C12H11OP,203.0625766344,protonated
3-MPTMS [M+H]+,3-MPTMS,,C7H16O3SSi,209.06676693637,protonated
Diphenylphosphinic acid [M+H]+,Diphenylphosphinic acid,,C12H11O2P,219.05749125396,protonated
Lead oxide [M+H]+,Lead oxide,204Pb,PbO,224.979392,protonated
Lead hydroxide [M+H]+,Lead hydroxide,204Pb,PbOH2,226.99504199999998,protonated
PBG [M+H]+,PBG,,C14H17NO2,232.13375382118,protonated
WPBG-027 [M+H]+,WPBG-027,,C14H17NO2,232.13375382118,protonated
TBA+ [M+Na]+,TBA+,,C16H36N,242.28477515932,sodium_adduct
TBA+ [M]+,TBA+,,C16H36N,242.28477515932,cation
1-Octadecene [M+H]+,1-Octadecene,,C18H36,253.289525,protonated
PBG [M+Na]+,PBG,,C14H17NO2,254.115699,sodium_adduct
Palmitic acid - H2O [M+H]+,Palmitic acid - H2O,,C16H32O2,257.24805529743,protonated
Palmitic acid [M+H]+,Palmitic acid,,C16H32O2,257.24805529743,protonated
TBA+ [M+NH4]+,TBA+,,C16H36N,260.318597,ammonium_adduct
Diphenylphosphine selenide (74Se),Diphenylphosphine selenide,74Se,C12H11P74Se,260.99013841484,protonated
Diphenylphosphine selenide (76Se),Diphenylphosphine selenide,76Se,C12H11P76Se,262.98687561484,protonated
Diphenylphosphine selenide (77Se),Diphenylphosphine selenide,77Se,C12H11P77Se,263.98757601484,protonated
Diphenylphosphine selenide (78Se),Diphenylphosphine selenide,78Se,C12H11P78Se,264.98497111484,protonated
Diphenylphosphine selenide (80Se),Diphenylphosphine selenide,80Se,C12H11P80Se,266.98418331484,protonated
Diphenylphosphine selenide (82Se),Diphenylphosphine selenide,82Se,C12H11P82Se,268.98436141483995,protonated
Palmitic acid [M+Na]+,Palmitic acid,,C16H32O2,279.23,sodium_adduct
Linoleic acid [M+H]+,Linoleic acid,,C18H34O2,283.26370536157,protonated
Oleic acid - H2O [M+H]+,Oleic acid - H2O,,C18H34O2,283.26370536157,protonated
Linoleic acid - H2O [M+H]+,Linoleic acid - H2O,,C18H34O2,283.26370536157,protonated
Palmitoleic acid [M+H]+,Palmitoleic acid,,C18H34O2,283.26370536157,protonated
Stearic acid [M+H]+,Stearic acid,,C18H36O2,285.27935542571,protonated
Stearic acid - H2O [M+H]+,Stearic acid - H2O,,C18H36O2,285.27935542571,protonated
Linoleic acid [M+Na]+,Linoleic acid,,C18H34O2,305.24565,sodium_adduct
Oleic acid [M+Na]+,Oleic acid,,C18H34O2,305.24565,sodium_adduct
Stearic acid [M+Na]+,Stearic acid,,C18H36O2,307.2613,sodium_adduct
Lead acetate [M+H]+,Lead acetate,204Pb,PbC4H6O4,327.01108700000003,protonated
TOP [M+H]+,TOP,,C24H51P,371.38066329764,protonated
TOPO [M+H]+,TOPO,,C24H51OP,387.3755779172,protonated
Trioctylphosphine selenide (74Se),Trioctylphosphine selenide,74Se,C24H51P74Se,445.30313969764,protonated
Trioctylphosphine selenide (76Se),Trioctylphosphine selenide,76Se,C24H51P76Se,447.29987689764,protonated
Trioctylphosphine selenide (77Se),Trioctylphosphine selenide,77Se,C24H51P77Se,448.30057729764,protonated
Trioctylphosphine selenide (78Se),Trioctylphosphine selenide,78Se,C24H51P78Se,449.29797239764,protonated
TOPSe [M+H]+,TOPSe,,C24H51PSe,451.29718459764,protonated
Trioctylphosphine selenide (80Se),Trioctylphosphine selenide,80Se,C24H51P80Se,451.29718459764,protonated
Trioctylphosphine selenide (82Se),Trioctylphosphine selenide,82Se,C24H51P82Se,453.29736269764,protonated
Lead (II) iodide,Lead,204Pb,PbI2,462.79342313207,protonated
Lead palmitate [M+H]+,Lead palmitate,,PbC32H62O4,719.44928759865,protonated
Lead palmitate,Lead palmitate,204Pb,PbC32H62O4,719.44928759865,protonated
Lead linoleate,Lead linoleate,204Pb,PbC36H62O4,767.44928759865,protonated
Lead linoleate [M+H]+,Lead linoleate,,PbC36H62O4,767.44928759865,protonated
Lead oleate,Lead oleate,204Pb,PbC36H66O4,771.48058772693,protonated
Lead oleate [M+H]+,Lead oleate,,PbC36H66O4,771.48058772693,protonated
